AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,11-0000,Management Occupations,major,"69,180",1.0,38.274,0.808,46.39,"96,480",0.6,21.22,29.10,40.04,56.44,#,"44,140","60,540","83,290","117,390",#,,
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,"62,560",1.1,34.613,0.722,30.34,"63,100",0.7,15.80,20.49,27.67,36.98,47.80,"32,870","42,630","57,560","76,930","99,420",,
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,"35,610",2.2,19.700,0.762,33.73,"70,170",1.0,17.46,23.52,32.72,42.56,52.10,"36,320","48,910","68,060","88,520","108,360",,
01,AL,Alabama,17-0000,Architecture and Engineering Occupations,major,"39,620",1.6,21.919,1.208,36.40,"75,710",3.4,15.90,23.47,34.18,47.51,58.67,"33,080","48,810","71,100","98,820","122,030",,
01,AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"9,870",6.1,5.462,0.652,27.05,"56,270",2.3,14.37,17.93,23.67,33.14,44.51,"29,900","37,290","49,230","68,930","92,580",,
01,AL,Alabama,21-0000,Community and Social Service Occupations,major,"16,890",2.2,9.343,0.625,19.33,"40,200",1.4,10.25,13.95,18.26,24.43,29.27,"21,310","29,010","37,980","50,810","60,890",,
01,AL,Alabama,23-0000,Legal Occupations,major,"9,300",4.4,5.143,0.659,42.18,"87,730",3.9,15.10,20.65,30.29,55.12,#,"31,410","42,960","63,000","114,640",#,,
01,AL,Alabama,25-0000,"Education, Training, and Library Occupations",major,"105,840",2.1,58.558,0.880,21.98,"45,730",3.2,8.82,13.97,21.30,26.47,32.35,"18,350","29,050","44,300","55,050","67,290",,
01,AL,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"18,770",4.3,10.386,0.769,18.44,"38,360",2.4,7.84,9.41,15.67,23.66,32.49,"16,300","19,570","32,600","49,220","67,590",,
01,AL,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"115,430",1.3,63.860,1.105,29.02,"60,370",1.1,12.16,16.71,22.95,31.16,50.77,"25,290","34,760","47,740","64,810","105,600",,
01,AL,Alabama,31-0000,Healthcare Support Occupations,major,"51,210",2.0,28.330,0.909,11.10,"23,080",0.7,7.77,8.65,10.26,12.52,15.59,"16,160","18,000","21,340","26,050","32,420",,
01,AL,Alabama,33-0000,Protective Service Occupations,major,"44,570",1.8,24.659,0.983,16.37,"34,040",1.9,8.20,10.34,14.89,20.51,26.69,"17,060","21,510","30,980","42,660","55,520",,
01,AL,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,"141,810",1.0,78.458,0.904,9.16,"19,060",0.5,7.45,7.70,8.44,9.37,12.14,"15,490","16,010","17,560","19,480","25,250",,
01,AL,Alabama,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"53,780",1.9,29.752,0.906,10.57,"21,980",0.8,7.56,8.09,9.30,11.79,15.60,"15,720","16,830","19,340","24,530","32,450",,
01,AL,Alabama,39-0000,Personal Care and Service Occupations,major,"38,470",5.0,21.285,0.790,10.40,"21,640",1.3,7.51,7.88,8.81,11.02,16.17,"15,620","16,390","18,330","22,910","33,620",,
01,AL,Alabama,41-0000,Sales and Related Occupations,major,"207,910",1.0,115.027,1.088,14.62,"30,420",1.0,7.55,8.23,10.16,16.74,27.34,"15,690","17,120","21,140","34,820","56,870",,
01,AL,Alabama,43-0000,Office and Administrative Support Occupations,major,"294,560",0.7,162.969,0.963,14.37,"29,880",0.3,8.27,10.04,13.11,17.38,22.52,"17,190","20,870","27,270","36,140","46,830",,
01,AL,Alabama,45-0000,"Farming, Fishing, and Forestry Occupations",major,"6,280",4.2,3.474,1.082,14.43,"30,010",2.0,8.21,9.97,13.35,17.75,22.42,"17,080","20,730","27,760","36,930","46,640",,
01,AL,Alabama,47-0000,Construction and Extraction Occupations,major,"82,970",1.6,45.904,1.150,16.83,"35,010",0.7,9.81,11.90,15.26,20.39,26.11,"20,410","24,750","31,750","42,410","54,320",,
01,AL,Alabama,49-0000,"Installation, Maintenance, and Repair Occupations",major,"88,470",1.6,48.948,1.262,19.45,"40,450",1.0,10.23,13.59,18.37,24.47,30.18,"21,280","28,260","38,210","50,900","62,770",,
01,AL,Alabama,51-0000,Production Occupations,major,"176,850",1.3,97.842,1.510,15.53,"32,310",1.5,8.49,10.30,13.58,19.05,26.23,"17,650","21,410","28,250","39,630","54,560",,
01,AL,Alabama,53-0000,Transportation and Material Moving Occupations,major,"137,540",1.3,76.093,1.131,14.44,"30,040",0.8,7.85,9.09,12.35,17.82,24.05,"16,330","18,900","25,680","37,070","50,020",,
