AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,807,480",0.4,1000.000,1.000,18.55,"38,590",0.5,7.92,9.44,14.21,22.57,33.50,"16,470","19,630","29,570","46,940","69,670",,
02,AK,Alaska,00-0000,All Occupations,total,"308,050",1.3,1000.000,1.000,24.21,"50,350",1.3,9.96,13.56,20.02,30.78,42.82,"20,720","28,200","41,640","64,030","89,060",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,367,120",0.8,1000.000,1.000,20.38,"42,390",0.8,8.36,10.63,15.89,24.50,37.50,"17,390","22,110","33,040","50,960","78,000",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,135,560",0.7,1000.000,1.000,17.05,"35,460",0.8,7.92,9.35,13.39,20.14,29.53,"16,470","19,450","27,860","41,900","61,420",,
06,CA,California,00-0000,All Occupations,total,"14,001,730",0.3,1000.000,1.000,24.39,"50,730",0.4,9.01,11.32,18.21,30.76,47.32,"18,750","23,550","37,870","63,980","98,420",,
08,CO,Colorado,00-0000,All Occupations,total,"2,157,690",0.4,1000.000,1.000,22.48,"46,770",0.5,8.68,11.55,17.68,27.82,41.99,"18,060","24,020","36,770","57,860","87,330",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,598,640",0.7,1000.000,1.000,24.96,"51,920",0.9,9.28,12.62,19.56,30.89,44.93,"19,290","26,240","40,670","64,260","93,450",,
10,DE,Delaware,00-0000,All Occupations,total,"397,730",1.1,1000.000,1.000,22.53,"46,870",1.1,8.65,11.28,17.26,27.87,41.95,"17,990","23,470","35,900","57,980","87,260",,
11,DC,District of Columbia,00-0000,All Occupations,total,"639,390",1.2,1000.000,1.000,35.31,"73,440",7.6,11.31,17.27,28.71,47.09,67.44,"23,520","35,910","59,720","97,950","140,270",,
12,FL,Florida,00-0000,All Occupations,total,"7,103,950",0.3,1000.000,1.000,19.36,"40,270",0.4,8.22,10.10,14.71,22.95,35.27,"17,100","21,000","30,600","47,730","73,360",,
