AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,11-0000,Management Occupations,major,"66,050",1.0,36.502,0.76,48.32,"100,500",0.6,23.34,31.10,42.28,58.36,81.81,"48,550","64,680","87,940","121,400","170,170",,
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,"63,340",1.1,35.004,0.73,31.21,"64,910",0.7,16.46,21.41,28.63,38.28,48.35,"34,240","44,530","59,540","79,630","100,560",,
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,"36,860",2.5,20.373,0.77,33.98,"70,670",1.2,17.24,23.36,32.71,43.00,53.70,"35,850","48,590","68,030","89,450","111,700",,
01,AL,Alabama,17-0000,Architecture and Engineering Occupations,major,"39,060",1.4,21.585,1.20,37.19,"77,350",1.2,17.07,24.58,35.06,48.38,59.93,"35,500","51,130","72,930","100,630","124,650",,
01,AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"9,120",3.6,5.039,0.60,28.11,"58,470",2.6,14.41,18.46,24.79,34.41,45.04,"29,960","38,400","51,550","71,580","93,690",,
01,AL,Alabama,21-0000,Community and Social Service Occupations,major,"16,320",2.4,9.021,0.61,19.64,"40,850",1.3,10.81,14.32,18.50,24.68,29.42,"22,490","29,780","38,490","51,330","61,180",,
01,AL,Alabama,23-0000,Legal Occupations,major,"9,350",3.2,5.168,0.66,41.03,"85,350",3.7,15.31,20.60,29.65,53.43,79.30,"31,840","42,860","61,670","111,130","164,950",,
01,AL,Alabama,25-0000,"Education, Training, and Library Occupations",major,"106,630",1.8,58.929,0.90,21.98,"45,720",3.3,8.52,12.33,21.48,27.05,33.66,"17,710","25,640","44,680","56,260","70,010",,
01,AL,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"19,090",3.7,10.549,0.78,17.74,"36,900",2.2,8.08,9.14,14.54,22.82,31.52,"16,810","19,020","30,240","47,470","65,570",,
01,AL,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"116,460",1.6,64.362,1.10,29.50,"61,360",1.3,12.45,17.16,23.12,31.37,51.67,"25,890","35,690","48,080","65,240","107,470",,
01,AL,Alabama,31-0000,Healthcare Support Occupations,major,"49,740",2.2,27.491,0.89,11.41,"23,730",0.8,7.93,8.81,10.45,12.89,16.50,"16,490","18,330","21,730","26,810","34,310",,
01,AL,Alabama,33-0000,Protective Service Occupations,major,"44,150",1.9,24.402,0.98,16.72,"34,780",1.8,8.45,10.65,15.30,21.09,27.20,"17,580","22,160","31,810","43,860","56,570",,
01,AL,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,"142,120",1.1,78.545,0.90,9.32,"19,390",0.5,7.61,8.02,8.71,9.47,12.42,"15,830","16,680","18,110","19,690","25,840",,
01,AL,Alabama,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"52,780",1.8,29.169,0.89,10.67,"22,200",0.8,7.76,8.39,9.49,11.76,15.43,"16,130","17,440","19,730","24,450","32,090",,
01,AL,Alabama,39-0000,Personal Care and Service Occupations,major,"40,440",4.4,22.350,0.79,10.39,"21,600",1.2,7.66,8.14,8.94,11.08,15.60,"15,930","16,930","18,600","23,040","32,450",,
01,AL,Alabama,41-0000,Sales and Related Occupations,major,"210,450",1.0,116.310,1.09,14.86,"30,900",0.8,7.87,8.57,10.42,16.99,27.62,"16,360","17,820","21,680","35,340","57,450",,
01,AL,Alabama,43-0000,Office and Administrative Support Occupations,major,"292,000",0.7,161.375,0.97,14.70,"30,590",0.3,8.56,10.32,13.40,17.75,22.88,"17,810","21,470","27,860","36,920","47,590",,
01,AL,Alabama,45-0000,"Farming, Fishing, and Forestry Occupations",major,"5,890",4.5,3.255,1.02,15.11,"31,440",2.4,8.73,10.55,14.27,18.56,23.01,"18,150","21,950","29,690","38,600","47,870",,
01,AL,Alabama,47-0000,Construction and Extraction Occupations,major,"78,110",1.4,43.167,1.12,17.08,"35,530",0.6,9.94,12.17,15.64,20.74,26.73,"20,680","25,320","32,520","43,130","55,610",,
01,AL,Alabama,49-0000,"Installation, Maintenance, and Repair Occupations",major,"91,600",1.5,50.625,1.30,20.03,"41,650",1.2,10.58,14.06,18.80,25.22,31.68,"22,000","29,250","39,110","52,460","65,890",,
01,AL,Alabama,51-0000,Production Occupations,major,"183,160",1.4,101.226,1.55,15.54,"32,310",1.4,8.65,10.39,13.51,18.97,26.21,"18,000","21,610","28,100","39,470","54,520",,
01,AL,Alabama,53-0000,Transportation and Material Moving Occupations,major,"136,710",1.3,75.555,1.12,14.56,"30,290",0.9,8.09,9.17,12.38,17.80,24.63,"16,830","19,070","25,760","37,030","51,240",,
02,AK,Alaska,11-0000,Management Occupations,major,"18,560",1.5,59.272,1.23,45.54,"94,710",1.5,21.59,29.61,40.71,55.52,73.08,"44,920","61,580","84,680","115,470","152,000",,
02,AK,Alaska,13-0000,Business and Financial Operations Occupations,major,"11,980",1.9,38.264,0.79,33.44,"69,560",1.2,19.53,24.64,31.20,40.09,50.84,"40,610","51,240","64,890","83,380","105,740",,
02,AK,Alaska,15-0000,Computer and Mathematical Occupations,major,"5,120",3.3,16.354,0.62,33.74,"70,180",1.0,20.29,25.45,33.14,41.24,48.35,"42,210","52,930","68,940","85,780","100,570",,
02,AK,Alaska,17-0000,Architecture and Engineering Occupations,major,"8,580",3.5,27.394,1.52,44.44,"92,430",2.0,24.26,31.26,41.47,53.72,68.82,"50,460","65,020","86,260","111,730","143,140",,
02,AK,Alaska,19-0000,"Life, Physical, and Social Science Occupations",major,"6,430",3.0,20.545,2.43,31.24,"64,980",1.9,15.55,20.90,28.93,37.68,48.15,"32,350","43,460","60,170","78,380","100,150",,
02,AK,Alaska,21-0000,Community and Social Service Occupations,major,"6,640",4.4,21.191,1.44,23.17,"48,190",2.2,13.52,16.97,21.82,28.08,34.99,"28,130","35,290","45,370","58,410","72,780",,
02,AK,Alaska,23-0000,Legal Occupations,major,"1,950",5.5,6.230,0.80,41.58,"86,490",5.6,20.50,23.86,35.25,51.07,66.80,"42,650","49,640","73,320","106,230","138,930",,
02,AK,Alaska,25-0000,"Education, Training, and Library Occupations",major,"22,130",3.4,70.669,1.08,28.83,"59,960",2.8,11.93,18.52,27.60,36.61,46.47,"24,810","38,530","57,400","76,140","96,670",,
02,AK,Alaska,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"3,380",3.9,10.799,0.80,20.94,"43,560",2.5,11.03,15.10,19.02,25.05,33.55,"22,950","31,410","39,570","52,100","69,790",,
02,AK,Alaska,29-0000,Healthcare Practitioners and Technical Occupations,major,"15,150",5.1,48.383,0.83,42.96,"89,360",2.7,19.00,27.38,36.65,46.62,72.24,"39,530","56,940","76,230","96,960","150,250",,
02,AK,Alaska,31-0000,Healthcare Support Occupations,major,"7,920",4.1,25.298,0.82,17.77,"36,960",1.9,10.80,14.03,16.81,20.43,25.24,"22,470","29,180","34,970","42,500","52,500",,
02,AK,Alaska,33-0000,Protective Service Occupations,major,"8,510",3.8,27.178,1.09,23.65,"49,200",3.4,12.29,14.78,22.85,29.32,37.93,"25,570","30,750","47,520","60,990","78,900",,
02,AK,Alaska,35-0000,Food Preparation and Serving Related Occupations,major,"24,010",2.1,76.662,0.88,11.58,"24,090",1.4,8.23,8.83,10.35,13.55,17.06,"17,120","18,370","21,530","28,180","35,490",,
02,AK,Alaska,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"10,600",4.3,33.835,1.04,14.29,"29,730",2.3,8.92,10.58,13.35,16.97,21.21,"18,560","22,000","27,770","35,300","44,110",,
02,AK,Alaska,39-0000,Personal Care and Service Occupations,major,"10,870",4.8,34.711,1.23,14.03,"29,170",1.4,8.68,10.17,13.28,16.75,20.44,"18,050","21,150","27,620","34,840","42,520",,
02,AK,Alaska,41-0000,Sales and Related Occupations,major,"25,590",3.4,81.715,0.77,15.86,"32,990",1.6,9.03,10.42,13.02,18.10,26.11,"18,770","21,670","27,080","37,640","54,310",,
02,AK,Alaska,43-0000,Office and Administrative Support Occupations,major,"53,320",1.6,170.242,1.02,18.93,"39,380",0.7,11.34,14.24,17.89,22.64,27.78,"23,600","29,610","37,200","47,100","57,790",,
02,AK,Alaska,45-0000,"Farming, Fishing, and Forestry Occupations",major,280,25.3,0.890,0.28,22.33,"46,450",10.6,10.54,15.27,20.02,27.53,40.36,"21,920","31,750","41,630","57,260","83,950",,
02,AK,Alaska,47-0000,Construction and Extraction Occupations,major,"20,150",3.1,64.345,1.67,29.25,"60,830",1.2,16.99,22.35,28.64,35.12,43.06,"35,340","46,490","59,560","73,040","89,570",,
02,AK,Alaska,49-0000,"Installation, Maintenance, and Repair Occupations",major,"14,870",2.4,47.481,1.22,26.88,"55,900",1.3,14.09,19.06,26.47,34.20,41.40,"29,310","39,650","55,050","71,140","86,120",,
02,AK,Alaska,51-0000,Production Occupations,major,"13,310",2.8,42.513,0.65,21.56,"44,840",6.6,8.47,9.75,16.86,30.04,43.38,"17,610","20,290","35,070","62,490","90,220",,
02,AK,Alaska,53-0000,Transportation and Material Moving Occupations,major,"23,810",5.9,76.028,1.13,23.00,"47,830",4.1,10.85,14.17,19.46,27.35,37.29,"22,560","29,470","40,470","56,900","77,550",,
04,AZ,Arizona,11-0000,Management Occupations,major,"128,090",1.4,53.813,1.12,46.17,"96,040",0.8,20.14,28.18,39.98,56.60,80.66,"41,880","58,620","83,160","117,740","167,780",,
04,AZ,Arizona,13-0000,Business and Financial Operations Occupations,major,"116,000",2.3,48.736,1.01,29.84,"62,070",0.9,16.05,20.44,27.22,35.89,46.12,"33,380","42,520","56,620","74,640","95,920",,
04,AZ,Arizona,15-0000,Computer and Mathematical Occupations,major,"66,420",2.7,27.906,1.05,35.56,"73,960",1.6,17.94,24.41,34.09,44.84,56.09,"37,310","50,780","70,900","93,260","116,660",,
04,AZ,Arizona,17-0000,Architecture and Engineering Occupations,major,"49,400",3.1,20.756,1.15,36.64,"76,220",1.6,19.13,25.59,34.88,45.98,57.58,"39,790","53,220","72,550","95,640","119,770",,
04,AZ,Arizona,19-0000,"Life, Physical, and Social Science Occupations",major,"18,120",2.7,7.614,0.90,26.89,"55,940",3.0,13.67,17.83,23.09,32.20,43.28,"28,430","37,090","48,020","66,970","90,020",,
04,AZ,Arizona,21-0000,Community and Social Service Occupations,major,"34,150",3.0,14.349,0.97,19.42,"40,400",1.5,10.89,13.83,17.93,23.08,30.09,"22,660","28,770","37,300","48,000","62,580",,
04,AZ,Arizona,23-0000,Legal Occupations,major,"17,830",3.6,7.492,0.96,43.08,"89,600",4.2,17.11,22.93,33.99,53.05,81.16,"35,590","47,690","70,700","110,350","168,810",,
04,AZ,Arizona,25-0000,"Education, Training, and Library Occupations",major,"149,300",2.6,62.727,0.96,21.95,"45,660",3.5,9.99,13.39,18.79,26.16,37.43,"20,780","27,840","39,090","54,420","77,860",,
04,AZ,Arizona,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"26,480",3.3,11.126,0.83,22.19,"46,150",2.2,9.11,13.35,18.97,26.94,36.37,"18,950","27,770","39,470","56,040","75,660",,
04,AZ,Arizona,29-0000,Healthcare Practitioners and Technical Occupations,major,"128,840",2.0,54.129,0.92,36.34,"75,580",1.5,14.51,21.68,31.03,41.84,60.34,"30,180","45,100","64,550","87,020","125,500",,
04,AZ,Arizona,31-0000,Healthcare Support Occupations,major,"64,480",2.5,27.092,0.88,13.63,"28,350",1.1,9.02,10.48,12.84,16.01,18.99,"18,760","21,800","26,700","33,310","39,500",,
04,AZ,Arizona,33-0000,Protective Service Occupations,major,"75,170",2.4,31.581,1.27,21.53,"44,780",3.0,9.55,13.06,19.73,28.13,36.34,"19,860","27,160","41,050","58,520","75,590",,
04,AZ,Arizona,35-0000,Food Preparation and Serving Related Occupations,major,"220,290",1.2,92.549,1.06,10.57,"21,990",1.9,7.73,8.24,9.09,11.28,15.23,"16,070","17,130","18,900","23,470","31,670",,
04,AZ,Arizona,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"83,340",2.2,35.015,1.07,11.61,"24,160",1.2,7.90,8.67,10.31,13.23,17.58,"16,430","18,020","21,450","27,520","36,570",,
04,AZ,Arizona,39-0000,Personal Care and Service Occupations,major,"69,460",3.8,29.182,1.03,11.83,"24,600",1.0,7.86,8.58,10.10,13.19,18.48,"16,350","17,840","21,010","27,420","38,430",,
04,AZ,Arizona,41-0000,Sales and Related Occupations,major,"261,740",1.6,109.967,1.03,17.41,"36,210",1.3,8.17,9.26,12.71,20.00,33.00,"16,990","19,270","26,440","41,600","68,630",,
04,AZ,Arizona,43-0000,Office and Administrative Support Occupations,major,"423,560",1.4,177.952,1.07,16.31,"33,920",0.4,9.50,11.92,15.20,19.41,24.91,"19,750","24,800","31,620","40,370","51,810",,
04,AZ,Arizona,45-0000,"Farming, Fishing, and Forestry Occupations",major,"11,170",3.5,4.693,1.47,9.87,"20,540",2.5,7.70,8.17,8.94,10.42,12.41,"16,020","16,990","18,600","21,680","25,810",,
04,AZ,Arizona,47-0000,Construction and Extraction Occupations,major,"97,420",3.5,40.928,1.06,19.60,"40,770",0.9,11.19,14.21,18.09,23.25,29.90,"23,270","29,550","37,620","48,360","62,200",,
04,AZ,Arizona,49-0000,"Installation, Maintenance, and Repair Occupations",major,"95,380",2.6,40.074,1.03,20.40,"42,420",0.8,10.52,14.03,19.07,25.85,32.20,"21,890","29,190","39,670","53,760","66,970",,
