AREA,ST,STATE,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,809,420",0.4,1000.000,1.00,18.84,"39,180",0.5,8.23,9.57,14.35,22.91,34.18,"17,110","19,910","29,850","47,650","71,100",,
02,AK,Alaska,00-0000,All Occupations,total,"313,170",1.0,1000.000,1.00,24.80,"51,590",1.4,9.97,13.80,20.65,31.54,43.90,"20,730","28,710","42,960","65,600","91,310",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,380,200",0.6,1000.000,1.00,21.00,"43,670",0.8,8.60,10.90,16.40,25.52,39.19,"17,890","22,660","34,110","53,090","81,510",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,139,670",0.7,1000.000,1.00,17.47,"36,340",1.1,8.18,9.43,13.68,20.78,30.36,"17,010","19,610","28,460","43,220","63,150",,
06,CA,California,00-0000,All Occupations,total,"14,038,950",0.3,1000.000,1.00,24.96,"51,910",0.4,9.04,11.46,18.52,31.63,48.77,"18,790","23,830","38,530","65,780","101,450",,
08,CO,Colorado,00-0000,All Occupations,total,"2,179,060",0.4,1000.000,1.00,22.84,"47,510",0.5,8.79,11.54,17.82,28.30,42.85,"18,270","24,000","37,070","58,870","89,130",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,608,820",0.6,1000.000,1.00,25.40,"52,830",0.9,9.31,12.65,19.87,31.64,45.57,"19,360","26,310","41,320","65,810","94,780",,
10,DE,Delaware,00-0000,All Occupations,total,"403,430",1.2,1000.000,1.00,22.80,"47,420",1.6,8.72,11.28,17.40,28.06,42.82,"18,130","23,470","36,180","58,370","89,070",,
11,DC,District of Columbia,00-0000,All Occupations,total,"644,730",0.9,1000.000,1.00,35.84,"74,540",7.7,11.41,17.61,29.41,48.51,68.35,"23,730","36,630","61,180","100,900","142,170",,
12,FL,Florida,00-0000,All Occupations,total,"7,151,700",0.3,1000.000,1.00,19.59,"40,750",0.4,8.38,10.16,14.79,23.14,35.71,"17,440","21,120","30,770","48,130","74,270",,
13,GA,Georgia,00-0000,All Occupations,total,"3,779,250",0.3,1000.000,1.00,20.48,"42,590",0.4,8.31,9.96,15.25,24.92,37.65,"17,280","20,720","31,720","51,840","78,310",,
15,HI,Hawaii,00-0000,All Occupations,total,"577,220",1.0,1000.000,1.00,21.44,"44,600",2.0,8.85,11.77,17.44,26.53,38.73,"18,410","24,490","36,270","55,190","80,570",,
16,ID,Idaho,00-0000,All Occupations,total,"592,730",0.8,1000.000,1.00,18.52,"38,520",1.0,8.33,9.97,14.51,22.36,33.58,"17,320","20,730","30,170","46,520","69,850",,
17,IL,Illinois,00-0000,All Occupations,total,"5,574,180",0.4,1000.000,1.00,22.38,"46,550",0.6,8.98,10.71,16.95,27.97,41.95,"18,670","22,270","35,260","58,190","87,250",,
18,IN,Indiana,00-0000,All Occupations,total,"2,758,100",0.7,1000.000,1.00,19.08,"39,700",0.5,8.39,10.22,15.04,23.05,34.12,"17,460","21,250","31,280","47,950","70,970",,
19,IA,Iowa,00-0000,All Occupations,total,"1,449,110",0.6,1000.000,1.00,18.66,"38,820",0.8,8.44,10.37,14.99,22.35,32.56,"17,560","21,570","31,180","46,480","67,720",,
20,KS,Kansas,00-0000,All Occupations,total,"1,308,070",1.1,1000.000,1.00,19.24,"40,030",0.7,8.38,10.16,14.82,23.26,34.71,"17,430","21,140","30,820","48,380","72,200",,
21,KY,Kentucky,00-0000,All Occupations,total,"1,732,870",0.8,1000.000,1.00,18.58,"38,640",0.5,8.30,9.89,14.62,22.44,32.91,"17,270","20,570","30,420","46,670","68,450",,
22,LA,Louisiana,00-0000,All Occupations,total,"1,839,780",0.4,1000.000,1.00,18.65,"38,780",0.6,8.25,9.65,14.77,22.75,33.22,"17,150","20,080","30,730","47,310","69,090",,
23,ME,Maine,00-0000,All Occupations,total,"575,640",1.1,1000.000,1.00,19.32,"40,190",0.7,8.76,10.89,15.63,23.06,33.38,"18,220","22,640","32,510","47,970","69,430",,
