AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,11-0000,Management Occupations,major,"67,500",1.1,36.338,0.73,51.48,"107,080",0.6,24.54,33.09,44.98,62.09,88.43,"51,050","68,830","93,550","129,150","183,940",,
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,"67,730",1.2,36.463,0.72,32.75,"68,130",0.7,16.96,22.18,29.89,39.72,51.15,"35,280","46,130","62,170","82,610","106,390",,
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,"39,420",4.0,21.219,0.75,36.70,"76,330",1.1,18.87,25.76,35.26,45.77,57.44,"39,250","53,570","73,340","95,200","119,480",,
01,AL,Alabama,17-0000,Architecture and Engineering Occupations,major,"40,680",2.1,21.900,1.22,39.75,"82,670",0.9,19.59,27.41,37.96,51.52,62.36,"40,750","57,020","78,970","107,150","129,710",,
01,AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"8,920",2.7,4.803,0.57,28.69,"59,680",3.0,14.57,18.79,24.69,34.39,47.41,"30,300","39,090","51,360","71,530","98,610",,
01,AL,Alabama,21-0000,Community and Social Service Occupations,major,"16,970",2.0,9.137,0.64,19.92,"41,440",1.5,10.40,14.54,18.81,25.25,30.23,"21,640","30,250","39,120","52,510","62,880",,
01,AL,Alabama,23-0000,Legal Occupations,major,"8,980",3.3,4.832,0.62,40.89,"85,050",3.3,15.28,21.56,30.45,52.09,79.33,"31,790","44,850","63,330","108,340","165,000",,
01,AL,Alabama,25-0000,"Education, Training, and Library Occupations",major,"109,900",1.3,59.165,0.95,21.86,"45,470",3.5,8.29,10.08,21.47,27.13,33.19,"17,230","20,960","44,650","56,440","69,040",,
01,AL,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"15,760",4.5,8.487,0.64,20.07,"41,750",2.2,8.36,10.55,16.65,25.19,35.47,"17,390","21,950","34,630","52,390","73,770",,
01,AL,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"119,810",1.6,64.498,1.11,30.96,"64,400",1.3,12.70,17.61,23.93,32.95,56.89,"26,410","36,620","49,770","68,540","118,330",,
01,AL,Alabama,31-0000,Healthcare Support Occupations,major,"49,570",1.9,26.686,0.92,12.13,"25,230",0.8,8.14,9.30,10.99,13.67,17.73,"16,930","19,340","22,850","28,420","36,870",,
01,AL,Alabama,33-0000,Protective Service Occupations,major,"43,380",2.0,23.354,0.96,17.18,"35,730",1.7,8.50,10.77,15.67,21.97,28.06,"17,690","22,410","32,590","45,700","58,360",,
01,AL,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,"158,910",1.0,85.547,0.94,9.45,"19,650",0.6,7.65,8.06,8.74,9.56,13.04,"15,910","16,760","18,190","19,880","27,120",,
01,AL,Alabama,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"56,410",2.0,30.371,0.94,10.95,"22,770",0.9,7.80,8.46,9.69,11.95,16.36,"16,230","17,600","20,160","24,850","34,020",,
01,AL,Alabama,39-0000,Personal Care and Service Occupations,major,"44,170",2.3,23.780,0.77,10.32,"21,460",1.0,7.69,8.16,8.95,11.01,15.97,"15,990","16,980","18,620","22,890","33,220",,
01,AL,Alabama,41-0000,Sales and Related Occupations,major,"214,030",1.0,115.223,1.09,15.70,"32,660",0.9,7.92,8.64,10.72,17.86,29.27,"16,470","17,970","22,300","37,150","60,880",,
01,AL,Alabama,43-0000,Office and Administrative Support Occupations,major,"282,940",0.8,152.321,0.95,15.26,"31,750",0.3,8.76,10.70,13.93,18.31,23.95,"18,220","22,250","28,960","38,090","49,810",,
01,AL,Alabama,45-0000,"Farming, Fishing, and Forestry Occupations",major,"6,650",4.4,3.582,1.08,14.75,"30,670",2.1,8.54,10.32,13.57,17.70,22.77,"17,760","21,470","28,220","36,820","47,360",,
01,AL,Alabama,47-0000,Construction and Extraction Occupations,major,"75,010",1.6,40.384,1.03,18.37,"38,210",0.8,10.47,12.97,16.85,22.42,28.40,"21,770","26,980","35,040","46,630","59,080",,
01,AL,Alabama,49-0000,"Installation, Maintenance, and Repair Occupations",major,"91,080",1.3,49.032,1.26,20.91,"43,490",1.1,10.85,14.34,19.47,26.60,33.88,"22,570","29,840","40,490","55,330","70,480",,
01,AL,Alabama,51-0000,Production Occupations,major,"199,730",1.4,107.524,1.63,16.26,"33,820",1.4,8.83,10.66,14.30,20.10,27.35,"18,370","22,170","29,740","41,820","56,900",,
01,AL,Alabama,53-0000,Transportation and Material Moving Occupations,major,"139,970",1.3,75.354,1.10,15.26,"31,740",1.1,8.27,9.52,12.89,18.35,25.74,"17,210","19,800","26,810","38,170","53,550",,
02,AK,Alaska,11-0000,Management Occupations,major,"18,030",1.9,55.485,1.11,50.38,"104,790",1.1,24.63,32.85,45.14,60.55,82.83,"51,230","68,330","93,900","125,950","172,290",,
02,AK,Alaska,13-0000,Business and Financial Operations Occupations,major,"13,110",2.3,40.338,0.80,36.15,"75,190",1.0,20.98,26.82,33.90,42.98,53.68,"43,640","55,790","70,520","89,400","111,660",,
02,AK,Alaska,15-0000,Computer and Mathematical Occupations,major,"5,030",4.0,15.466,0.55,36.24,"75,380",1.6,21.19,27.14,34.97,43.48,52.42,"44,080","56,450","72,740","90,440","109,020",,
02,AK,Alaska,17-0000,Architecture and Engineering Occupations,major,"7,910",2.8,24.353,1.36,48.48,"100,840",2.2,25.88,33.29,44.38,58.44,74.72,"53,830","69,250","92,310","121,560","155,420",,
02,AK,Alaska,19-0000,"Life, Physical, and Social Science Occupations",major,"6,420",3.5,19.745,2.33,34.24,"71,230",2.0,18.67,24.13,31.32,40.15,51.68,"38,830","50,180","65,140","83,500","107,490",,
02,AK,Alaska,21-0000,Community and Social Service Occupations,major,"6,600",4.4,20.323,1.42,24.15,"50,230",2.4,13.57,16.93,22.67,29.84,36.92,"28,210","35,220","47,160","62,070","76,800",,
02,AK,Alaska,23-0000,Legal Occupations,major,"2,190",4.7,6.747,0.87,46.12,"95,920",3.5,22.39,29.35,42.11,56.42,75.46,"46,560","61,060","87,590","117,350","156,950",,
02,AK,Alaska,25-0000,"Education, Training, and Library Occupations",major,"22,700",3.8,69.844,1.12,28.01,"58,260",2.7,13.33,18.76,27.21,36.02,44.25,"27,730","39,030","56,600","74,920","92,050",,
02,AK,Alaska,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"3,430",5.4,10.551,0.79,24.92,"51,840",1.6,13.16,17.39,22.88,29.79,38.20,"27,380","36,170","47,580","61,960","79,460",,
02,AK,Alaska,29-0000,Healthcare Practitioners and Technical Occupations,major,"16,570",11.7,50.986,0.88,42.87,"89,170",1.8,19.53,27.11,37.50,49.22,69.62,"40,620","56,390","78,000","102,380","144,810",,
02,AK,Alaska,31-0000,Healthcare Support Occupations,major,"8,140",6.9,25.033,0.86,18.91,"39,340",2.5,12.09,14.55,17.35,21.29,26.86,"25,140","30,260","36,090","44,290","55,880",,
02,AK,Alaska,33-0000,Protective Service Occupations,major,"7,720",4.2,23.755,0.97,25.84,"53,740",3.5,11.85,16.92,24.20,32.86,42.06,"24,640","35,190","50,330","68,350","87,490",,
02,AK,Alaska,35-0000,Food Preparation and Serving Related Occupations,major,"26,490",3.2,81.531,0.90,12.60,"26,200",1.9,8.32,8.98,10.98,14.70,19.21,"17,300","18,680","22,830","30,580","39,950",,
02,AK,Alaska,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"10,600",6.1,32.630,1.01,14.34,"29,830",1.6,9.38,11.07,13.66,16.95,20.57,"19,500","23,030","28,410","35,250","42,790",,
02,AK,Alaska,39-0000,Personal Care and Service Occupations,major,"12,490",6.4,38.434,1.25,14.44,"30,040",1.4,9.47,11.29,13.91,16.90,19.28,"19,700","23,490","28,930","35,140","40,100",,
02,AK,Alaska,41-0000,Sales and Related Occupations,major,"25,910",2.7,79.730,0.76,16.75,"34,830",1.5,9.31,10.66,13.49,18.90,27.94,"19,370","22,160","28,050","39,310","58,110",,
02,AK,Alaska,43-0000,Office and Administrative Support Occupations,major,"53,410",1.6,164.371,1.03,19.99,"41,570",0.8,12.10,15.02,18.76,23.87,29.27,"25,160","31,230","39,020","49,640","60,890",,
02,AK,Alaska,45-0000,"Farming, Fishing, and Forestry Occupations",major,620,27.6,1.904,0.58,20.97,"43,620",8.4,9.75,14.32,23.78,26.91,28.77,"20,270","29,790","49,470","55,980","59,840",,
02,AK,Alaska,47-0000,Construction and Extraction Occupations,major,"23,450",3.2,72.166,1.84,30.57,"63,590",1.0,17.47,23.68,29.91,36.80,44.13,"36,350","49,260","62,220","76,540","91,790",,
02,AK,Alaska,49-0000,"Installation, Maintenance, and Repair Occupations",major,"17,170",3.0,52.847,1.36,27.45,"57,100",1.1,14.99,20.13,27.06,34.56,41.38,"31,180","41,860","56,280","71,890","86,060",,
02,AK,Alaska,51-0000,Production Occupations,major,"13,230",3.0,40.706,0.62,20.52,"42,680",4.5,8.55,9.59,16.63,29.33,39.74,"17,790","19,950","34,580","61,000","82,660",,
02,AK,Alaska,53-0000,Transportation and Material Moving Occupations,major,"23,740",3.1,73.053,1.07,24.72,"51,420",4.5,10.81,14.14,19.83,28.75,43.80,"22,480","29,400","41,250","59,800","91,100",,
04,AZ,Arizona,11-0000,Management Occupations,major,"126,700",1.5,50.138,1.00,48.60,"101,090",0.8,20.15,29.62,42.11,59.41,86.78,"41,910","61,610","87,580","123,570","180,510",,
04,AZ,Arizona,13-0000,Business and Financial Operations Occupations,major,"128,300",2.0,50.772,1.00,30.99,"64,470",0.8,16.33,21.19,28.41,37.43,48.18,"33,970","44,060","59,080","77,860","100,210",,
04,AZ,Arizona,15-0000,Computer and Mathematical Occupations,major,"82,500",5.1,32.649,1.15,37.48,"77,960",1.2,18.61,25.44,35.86,47.58,58.48,"38,710","52,920","74,580","98,960","121,630",,
04,AZ,Arizona,17-0000,Architecture and Engineering Occupations,major,"50,830",4.8,20.116,1.12,37.17,"77,310",1.4,19.75,26.01,34.41,46.02,58.54,"41,090","54,090","71,580","95,720","121,750",,
04,AZ,Arizona,19-0000,"Life, Physical, and Social Science Occupations",major,"17,740",3.0,7.020,0.83,28.77,"59,840",1.7,15.20,19.51,26.21,35.49,45.40,"31,620","40,590","54,520","73,820","94,430",,
04,AZ,Arizona,21-0000,Community and Social Service Occupations,major,"39,260",3.9,15.536,1.09,19.69,"40,960",1.2,11.17,14.24,18.38,23.65,29.68,"23,240","29,630","38,230","49,190","61,740",,
04,AZ,Arizona,23-0000,Legal Occupations,major,"18,470",2.9,7.308,0.94,42.46,"88,320",3.7,17.21,22.53,33.38,54.42,81.19,"35,790","46,870","69,440","113,200","168,880",,
04,AZ,Arizona,25-0000,"Education, Training, and Library Occupations",major,"140,280",4.6,55.514,0.89,21.64,"45,010",3.6,10.07,13.18,18.60,25.54,35.21,"20,950","27,410","38,690","53,110","73,250",,
04,AZ,Arizona,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"30,930",4.1,12.241,0.92,22.24,"46,250",2.2,9.50,12.55,18.12,26.36,38.23,"19,760","26,100","37,700","54,830","79,510",,
04,AZ,Arizona,29-0000,Healthcare Practitioners and Technical Occupations,major,"138,610",2.5,54.850,0.94,36.43,"75,770",1.2,14.63,21.65,31.30,42.72,61.53,"30,430","45,030","65,090","88,860","127,990",,
04,AZ,Arizona,31-0000,Healthcare Support Occupations,major,"65,400",3.4,25.882,0.89,14.92,"31,030",1.3,9.74,11.50,13.84,17.01,20.93,"20,250","23,920","28,790","35,380","43,540",,
04,AZ,Arizona,33-0000,Protective Service Occupations,major,"79,480",2.8,31.453,1.29,21.46,"44,630",2.0,9.52,12.24,19.17,27.77,37.18,"19,810","25,460","39,880","57,760","77,340",,
04,AZ,Arizona,35-0000,Food Preparation and Serving Related Occupations,major,"240,930",1.1,95.341,1.05,10.64,"22,130",0.7,8.15,8.53,9.15,11.22,14.89,"16,950","17,730","19,040","23,330","30,970",,
04,AZ,Arizona,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"78,100",1.9,30.906,0.96,11.50,"23,920",0.8,8.30,8.91,10.37,12.88,16.38,"17,270","18,520","21,570","26,780","34,070",,
04,AZ,Arizona,39-0000,Personal Care and Service Occupations,major,"83,540",3.8,33.057,1.08,11.85,"24,650",1.1,8.28,8.86,10.19,12.57,17.95,"17,230","18,420","21,200","26,150","37,330",,
04,AZ,Arizona,41-0000,Sales and Related Occupations,major,"288,710",1.3,114.250,1.08,17.28,"35,950",1.2,8.44,9.18,12.02,19.47,31.51,"17,550","19,100","25,000","40,490","65,540",,
04,AZ,Arizona,43-0000,Office and Administrative Support Occupations,major,"442,090",1.2,174.948,1.09,16.65,"34,630",0.5,9.56,11.99,15.36,19.72,25.76,"19,890","24,930","31,940","41,020","53,580",,
04,AZ,Arizona,45-0000,"Farming, Fishing, and Forestry Occupations",major,"13,400",8.5,5.304,1.60,9.97,"20,730",1.9,8.13,8.42,8.90,9.42,13.21,"16,900","17,510","18,520","19,590","27,470",,
04,AZ,Arizona,47-0000,Construction and Extraction Occupations,major,"109,280",2.0,43.246,1.10,20.04,"41,690",0.9,11.33,14.42,18.09,23.71,31.44,"23,560","30,000","37,630","49,320","65,390",,
04,AZ,Arizona,49-0000,"Installation, Maintenance, and Repair Occupations",major,"101,880",1.9,40.316,1.04,21.27,"44,230",0.9,10.98,14.62,19.69,26.75,33.77,"22,850","30,410","40,950","55,640","70,250",,
04,AZ,Arizona,51-0000,Production Occupations,major,"106,530",2.4,42.156,0.64,16.89,"35,130",1.2,9.12,11.19,15.00,20.60,27.29,"18,970","23,270","31,200","42,850","56,770",,
04,AZ,Arizona,53-0000,Transportation and Material Moving Occupations,major,"144,030",2.0,56.995,0.83,16.82,"34,990",4.1,8.65,10.04,14.10,19.41,27.39,"18,000","20,880","29,320","40,380","56,970",,
05,AR,Arkansas,11-0000,Management Occupations,major,"56,070",1.4,48.388,0.97,42.22,"87,810",3.3,15.60,23.52,35.39,52.72,78.52,"32,440","48,920","73,600","109,660","163,320",,
05,AR,Arkansas,13-0000,Business and Financial Operations Occupations,major,"42,750",1.5,36.892,0.73,28.94,"60,210",2.5,14.77,19.00,26.41,35.83,46.82,"30,720","39,510","54,940","74,540","97,390",,
05,AR,Arkansas,15-0000,Computer and Mathematical Occupations,major,"21,420",5.5,18.489,0.65,31.39,"65,290",2.3,16.11,21.81,30.48,38.96,47.66,"33,520","45,370","63,390","81,040","99,140",,
05,AR,Arkansas,17-0000,Architecture and Engineering Occupations,major,"11,730",4.6,10.122,0.57,31.28,"65,060",1.2,16.74,21.99,29.75,38.12,47.72,"34,820","45,740","61,870","79,300","99,260",,
05,AR,Arkansas,19-0000,"Life, Physical, and Social Science Occupations",major,"6,480",3.3,5.595,0.66,26.57,"55,260",2.4,13.57,17.61,23.63,32.91,43.11,"28,220","36,620","49,140","68,450","89,670",,
05,AR,Arkansas,21-0000,Community and Social Service Occupations,major,"13,200",2.3,11.388,0.80,18.80,"39,110",1.2,9.61,13.03,17.08,23.49,30.14,"19,990","27,110","35,520","48,850","62,700",,
05,AR,Arkansas,23-0000,Legal Occupations,major,"6,890",3.4,5.950,0.76,36.95,"76,860",3.9,14.61,19.12,27.89,46.70,69.29,"30,400","39,760","58,000","97,150","144,120",,
05,AR,Arkansas,25-0000,"Education, Training, and Library Occupations",major,"70,830",2.8,61.128,0.98,21.34,"44,390",2.3,8.72,13.32,20.50,26.02,32.53,"18,130","27,700","42,630","54,130","67,650",,
05,AR,Arkansas,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"8,520",3.0,7.349,0.55,19.75,"41,070",1.6,9.18,12.56,17.53,24.68,32.91,"19,090","26,130","36,460","51,340","68,450",,
05,AR,Arkansas,29-0000,Healthcare Practitioners and Technical Occupations,major,"73,070",2.6,63.057,1.08,31.44,"65,400",1.4,12.92,17.23,23.68,33.95,57.61,"26,870","35,840","49,250","70,620","119,820",,
05,AR,Arkansas,31-0000,Healthcare Support Occupations,major,"36,620",2.0,31.601,1.08,11.46,"23,830",1.1,7.75,8.82,10.47,12.63,16.46,"16,120","18,340","21,770","26,280","34,230",,
05,AR,Arkansas,33-0000,Protective Service Occupations,major,"23,990",1.7,20.703,0.85,16.29,"33,890",1.8,8.62,11.27,15.39,19.70,25.55,"17,940","23,450","32,010","40,970","53,150",,
05,AR,Arkansas,35-0000,Food Preparation and Serving Related Occupations,major,"99,730",1.1,86.067,0.95,8.97,"18,660",0.5,7.63,8.01,8.65,9.29,11.33,"15,860","16,660","17,980","19,320","23,570",,
05,AR,Arkansas,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"34,930",2.0,30.144,0.93,10.50,"21,840",0.9,7.76,8.34,9.32,11.75,14.82,"16,140","17,340","19,380","24,450","30,830",,
05,AR,Arkansas,39-0000,Personal Care and Service Occupations,major,"34,100",2.3,29.428,0.96,9.66,"20,100",0.9,7.60,8.06,8.82,10.24,13.54,"15,810","16,760","18,360","21,310","28,160",,
05,AR,Arkansas,41-0000,Sales and Related Occupations,major,"121,680",1.6,105.010,1.00,15.04,"31,290",1.3,7.90,8.59,10.36,16.69,27.90,"16,430","17,860","21,560","34,700","58,040",,
05,AR,Arkansas,43-0000,Office and Administrative Support Occupations,major,"178,870",1.0,154.359,0.96,14.39,"29,930",0.6,8.45,10.06,13.11,17.20,22.43,"17,570","20,920","27,260","35,770","46,660",,
05,AR,Arkansas,45-0000,"Farming, Fishing, and Forestry Occupations",major,"5,920",7.3,5.104,1.54,13.57,"28,230",3.3,8.46,9.93,11.60,15.81,22.29,"17,600","20,660","24,130","32,880","46,360",,
05,AR,Arkansas,47-0000,Construction and Extraction Occupations,major,"44,180",1.9,38.125,0.97,17.08,"35,530",0.8,9.75,12.28,15.86,20.69,26.33,"20,270","25,540","32,980","43,030","54,760",,
05,AR,Arkansas,49-0000,"Installation, Maintenance, and Repair Occupations",major,"51,220",1.7,44.200,1.14,18.74,"38,980",0.8,10.14,13.13,17.29,23.11,29.65,"21,080","27,320","35,950","48,070","61,670",,
05,AR,Arkansas,51-0000,Production Occupations,major,"112,550",2.2,97.132,1.47,15.10,"31,400",1.1,8.89,10.59,13.69,18.13,23.09,"18,490","22,030","28,480","37,720","48,020",,
05,AR,Arkansas,53-0000,Transportation and Material Moving Occupations,major,"104,030",4.0,89.771,1.31,14.80,"30,790",1.5,8.39,9.87,13.04,17.60,23.76,"17,460","20,530","27,110","36,620","49,420",,
06,CA,California,11-0000,Management Occupations,major,"887,420",0.6,58.693,1.18,60.14,"125,100",0.5,24.20,35.23,52.75,76.37,#,"50,330","73,280","109,720","158,840",#,,
06,CA,California,13-0000,Business and Financial Operations Occupations,major,"858,040",0.8,56.749,1.12,38.33,"79,730",0.4,19.33,25.67,34.37,46.08,61.41,"40,200","53,400","71,490","95,860","127,740",,
06,CA,California,15-0000,Computer and Mathematical Occupations,major,"514,330",2.2,34.017,1.20,47.81,"99,450",1.5,23.66,33.16,45.63,60.22,74.76,"49,210","68,980","94,910","125,250","155,510",,
06,CA,California,17-0000,Architecture and Engineering Occupations,major,"322,040",1.6,21.299,1.19,46.00,"95,670",0.6,24.25,32.26,44.19,57.47,72.06,"50,430","67,090","91,910","119,540","149,870",,
06,CA,California,19-0000,"Life, Physical, and Social Science Occupations",major,"180,720",3.7,11.953,1.41,37.62,"78,240",1.1,16.94,24.00,35.20,47.52,59.37,"35,230","49,930","73,210","98,840","123,480",,
06,CA,California,21-0000,Community and Social Service Occupations,major,"228,390",1.5,15.105,1.06,24.78,"51,550",1.6,12.00,16.07,22.40,31.47,41.93,"24,970","33,420","46,590","65,450","87,220",,
06,CA,California,23-0000,Legal Occupations,major,"122,130",2.0,8.077,1.04,57.74,"120,100",1.7,20.97,29.48,47.39,77.36,#,"43,620","61,320","98,580","160,920",#,,
06,CA,California,25-0000,"Education, Training, and Library Occupations",major,"912,900",0.8,60.378,0.97,27.93,"58,090",0.9,12.36,16.62,25.13,36.66,45.68,"25,700","34,570","52,260","76,250","95,000",,
06,CA,California,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"290,160",1.5,19.191,1.45,33.86,"70,440",1.6,11.86,17.11,26.59,41.32,61.07,"24,670","35,590","55,310","85,950","127,030",,
06,CA,California,29-0000,Healthcare Practitioners and Technical Occupations,major,"737,820",1.1,48.798,0.84,44.56,"92,690",0.7,17.81,26.12,39.63,56.14,74.03,"37,050","54,320","82,430","116,770","153,980",,
06,CA,California,31-0000,Healthcare Support Occupations,major,"351,230",1.2,23.230,0.80,16.32,"33,940",0.6,9.88,11.80,14.99,19.42,25.16,"20,550","24,550","31,170","40,380","52,340",,
06,CA,California,33-0000,Protective Service Occupations,major,"365,130",1.1,24.149,0.99,25.38,"52,780",3.6,9.36,11.69,20.04,37.83,48.05,"19,470","24,310","41,680","78,680","99,940",,
06,CA,California,35-0000,Food Preparation and Serving Related Occupations,major,"1,416,130",0.4,93.661,1.03,11.30,"23,500",0.4,8.41,8.82,9.64,12.18,16.65,"17,500","18,340","20,050","25,330","34,630",,
06,CA,California,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"477,760",0.9,31.598,0.98,13.88,"28,870",0.6,8.80,9.89,12.14,16.59,21.88,"18,300","20,570","25,240","34,520","45,500",,
06,CA,California,39-0000,Personal Care and Service Occupations,major,"417,940",1.7,27.642,0.90,12.93,"26,900",0.7,8.53,9.14,10.82,14.03,20.23,"17,750","19,010","22,510","29,190","42,080",,
06,CA,California,41-0000,Sales and Related Occupations,major,"1,574,030",0.6,104.104,0.99,19.87,"41,320",0.6,8.75,9.65,13.58,22.49,38.10,"18,210","20,080","28,250","46,780","79,250",,
06,CA,California,43-0000,Office and Administrative Support Occupations,major,"2,444,440",0.6,161.672,1.01,18.94,"39,390",0.2,10.00,12.96,17.51,23.23,29.27,"20,790","26,960","36,420","48,320","60,880",,
06,CA,California,45-0000,"Farming, Fishing, and Forestry Occupations",major,"210,650",1.7,13.932,4.21,10.24,"21,300",0.7,8.35,8.64,9.13,10.54,13.76,"17,370","17,980","18,990","21,920","28,610",,
06,CA,California,47-0000,Construction and Extraction Occupations,major,"529,490",1.0,35.020,0.89,26.06,"54,200",0.5,13.07,17.04,24.29,33.37,43.01,"27,180","35,450","50,520","69,410","89,470",,
06,CA,California,49-0000,"Installation, Maintenance, and Repair Occupations",major,"477,100",1.0,31.555,0.81,23.91,"49,740",0.5,11.90,15.93,22.29,30.33,37.84,"24,760","33,140","46,360","63,080","78,700",,
06,CA,California,51-0000,Production Occupations,major,"829,740",0.9,54.878,0.83,16.93,"35,220",0.5,9.01,10.62,14.33,20.62,28.98,"18,750","22,080","29,810","42,890","60,280",,
06,CA,California,53-0000,Transportation and Material Moving Occupations,major,"972,140",1.0,64.296,0.94,16.82,"34,990",0.9,8.91,10.22,14.13,20.61,28.61,"18,530","21,250","29,380","42,870","59,520",,
08,CO,Colorado,11-0000,Management Occupations,major,"103,470",1.2,43.699,0.88,56.80,"118,130",0.7,24.51,34.50,49.85,70.90,#,"50,970","71,750","103,690","147,480",#,,
08,CO,Colorado,13-0000,Business and Financial Operations Occupations,major,"160,300",1.3,67.699,1.34,35.56,"73,970",0.7,17.80,23.84,32.29,43.29,56.52,"37,030","49,580","67,170","90,040","117,570",,
08,CO,Colorado,15-0000,Computer and Mathematical Occupations,major,"96,120",2.0,40.597,1.43,42.59,"88,590",1.1,21.68,30.21,41.02,53.45,66.16,"45,100","62,830","85,320","111,170","137,610",,
08,CO,Colorado,17-0000,Architecture and Engineering Occupations,major,"56,640",2.2,23.921,1.34,41.89,"87,120",1.3,20.95,28.70,38.69,52.12,67.34,"43,580","59,700","80,470","108,410","140,070",,
