AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,11-0000,Management Occupations,major,"69,100",1.0,36.689,0.73,52.79,"109,800",0.6,25.16,33.71,45.90,63.15,#,"52,320","70,120","95,470","131,360",#,,
01,AL,Alabama,13-0000,Business and Financial Operations Occupations,major,"69,290",1.2,36.791,0.72,33.36,"69,390",2.4,17.02,22.52,30.26,40.19,51.66,"35,400","46,830","62,940","83,590","107,450",,
01,AL,Alabama,15-0000,Computer and Mathematical Occupations,major,"38,260",3.4,20.317,0.70,37.59,"78,180",1.0,19.63,26.65,36.00,46.78,59.03,"40,830","55,430","74,870","97,300","122,770",,
01,AL,Alabama,17-0000,Architecture and Engineering Occupations,major,"41,830",1.8,22.208,1.24,41.41,"86,130",0.9,20.32,28.42,39.18,53.01,66.43,"42,260","59,120","81,500","110,270","138,170",,
01,AL,Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"9,100",2.9,4.832,0.58,29.79,"61,970",2.8,14.88,19.43,25.86,36.25,49.67,"30,960","40,420","53,790","75,400","103,320",,
01,AL,Alabama,21-0000,Community and Social Service Occupations,major,"17,510",2.4,9.298,0.65,20.67,"42,990",1.5,11.14,15.09,19.66,26.02,31.51,"23,180","31,390","40,900","54,120","65,540",,
01,AL,Alabama,23-0000,Legal Occupations,major,"9,690",3.9,5.148,0.67,40.36,"83,950",2.9,14.70,20.08,30.21,52.76,78.34,"30,580","41,760","62,830","109,740","162,950",,
01,AL,Alabama,25-0000,"Education, Training, and Library Occupations",major,"108,240",1.5,57.474,0.93,22.26,"46,310",3.7,8.40,10.77,21.73,27.46,33.35,"17,470","22,400","45,210","57,120","69,370",,
01,AL,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"16,260",4.1,8.633,0.65,20.56,"42,760",2.4,8.40,10.62,16.88,25.51,36.31,"17,470","22,080","35,120","53,060","75,520",,
01,AL,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"122,780",1.6,65.193,1.12,32.98,"68,600",2.7,13.06,17.96,24.41,34.09,61.52,"27,160","37,350","50,780","70,910","127,970",,
01,AL,Alabama,31-0000,Healthcare Support Occupations,major,"50,410",2.4,26.767,0.93,12.25,"25,480",0.9,8.18,9.33,11.11,13.87,18.00,"17,020","19,400","23,110","28,850","37,440",,
01,AL,Alabama,33-0000,Protective Service Occupations,major,"42,380",1.4,22.505,0.93,17.34,"36,060",1.7,8.43,10.62,16.02,22.15,28.40,"17,530","22,090","33,320","46,080","59,070",,
01,AL,Alabama,35-0000,Food Preparation and Serving Related Occupations,major,"162,060",1.0,86.051,0.94,9.67,"20,120",0.6,7.70,8.13,8.85,10.12,13.45,"16,010","16,910","18,420","21,050","27,970",,
01,AL,Alabama,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"56,800",1.9,30.158,0.94,11.28,"23,460",1.0,7.88,8.58,10.01,12.60,16.95,"16,390","17,850","20,830","26,200","35,260",,
01,AL,Alabama,39-0000,Personal Care and Service Occupations,major,"45,150",1.9,23.975,0.77,10.58,"22,000",1.0,7.75,8.24,9.06,11.36,16.63,"16,110","17,140","18,850","23,620","34,590",,
01,AL,Alabama,41-0000,Sales and Related Occupations,major,"217,860",1.1,115.679,1.10,15.78,"32,830",0.9,7.94,8.69,10.85,18.08,29.37,"16,520","18,070","22,560","37,600","61,100",,
01,AL,Alabama,43-0000,Office and Administrative Support Occupations,major,"282,300",0.8,149.897,0.95,15.70,"32,650",0.3,8.93,11.00,14.34,18.80,24.77,"18,570","22,890","29,820","39,100","51,520",,
