AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,AL,Alabama,00-0000,All Occupations,total,"1,883,310",0.4,1000.000,1.00,20.15,"41,920",0.5,8.36,9.93,15.17,24.39,36.88,"17,380","20,650","31,550","50,730","76,720",,
02,AK,Alaska,00-0000,All Occupations,total,"327,250",1.4,1000.000,1.00,26.81,"55,760",0.7,10.62,14.73,22.32,34.22,47.47,"22,090","30,640","46,420","71,170","98,740",,
04,AZ,Arizona,00-0000,All Occupations,total,"2,587,070",0.8,1000.000,1.00,21.78,"45,310",0.8,8.96,11.10,16.67,26.48,40.64,"18,640","23,090","34,680","55,080","84,540",,
05,AR,Arkansas,00-0000,All Occupations,total,"1,176,130",0.8,1000.000,1.00,18.53,"38,540",1.5,8.31,9.55,14.14,22.00,33.05,"17,280","19,860","29,420","45,750","68,730",,
06,CA,California,00-0000,All Occupations,total,"15,496,600",0.3,1000.000,1.00,26.57,"55,260",0.5,9.48,11.98,19.15,33.27,53.08,"19,720","24,910","39,830","69,190","110,410",,
08,CO,Colorado,00-0000,All Occupations,total,"2,451,490",0.4,1000.000,1.00,24.61,"51,180",0.6,9.21,12.04,18.66,29.97,46.60,"19,160","25,050","38,800","62,330","96,940",,
09,CT,Connecticut,00-0000,All Occupations,total,"1,659,430",0.7,1000.000,1.00,27.06,"56,280",0.9,9.63,13.11,21.07,33.74,49.26,"20,030","27,260","43,830","70,170","102,470",,
10,DE,Delaware,00-0000,All Occupations,total,"433,840",1.4,1000.000,1.00,24.18,"50,300",1.1,9.10,11.85,18.15,29.73,45.71,"18,920","24,660","37,750","61,830","95,080",,
11,DC,District of Columbia,00-0000,All Occupations,total,"676,060",0.6,1000.000,1.00,38.54,"80,150",6.4,11.49,18.05,31.75,51.88,72.98,"23,890","37,540","66,040","107,900","151,800",,
12,FL,Florida,00-0000,All Occupations,total,"7,925,300",0.4,1000.000,1.00,20.60,"42,860",0.3,8.82,10.46,15.29,24.26,37.36,"18,350","21,760","31,810","50,470","77,700",,
13,GA,Georgia,00-0000,All Occupations,total,"4,107,960",0.3,1000.000,1.00,21.84,"45,420",0.5,8.46,10.38,16.07,26.55,41.19,"17,590","21,590","33,430","55,220","85,680",,
15,HI,Hawaii,00-0000,All Occupations,total,"619,960",0.8,1000.000,1.00,22.95,"47,740",2.0,9.23,12.52,18.63,28.14,41.56,"19,200","26,040","38,750","58,520","86,450",,
16,ID,Idaho,00-0000,All Occupations,total,"642,700",0.8,1000.000,1.00,19.62,"40,810",1.0,8.52,10.47,15.32,23.55,35.49,"17,720","21,780","31,860","48,980","73,820",,
17,IL,Illinois,00-0000,All Occupations,total,"5,852,710",0.3,1000.000,1.00,24.02,"49,970",0.6,9.17,11.28,17.94,29.86,45.75,"19,080","23,470","37,320","62,120","95,150",,
18,IN,Indiana,00-0000,All Occupations,total,"2,947,380",0.6,1000.000,1.00,20.23,"42,070",0.5,8.57,10.66,15.82,24.43,36.24,"17,830","22,160","32,910","50,820","75,370",,
19,IA,Iowa,00-0000,All Occupations,total,"1,526,950",0.8,1000.000,1.00,20.12,"41,840",0.8,8.70,11.08,16.18,24.13,35.43,"18,100","23,050","33,650","50,190","73,680",,
20,KS,Kansas,00-0000,All Occupations,total,"1,371,630",0.7,1000.000,1.00,20.64,"42,930",0.6,8.69,10.97,16.20,24.75,36.89,"18,070","22,810","33,700","51,480","76,730",,
21,KY,Kentucky,00-0000,All Occupations,total,"1,838,220",0.7,1000.000,1.00,19.65,"40,880",0.6,8.51,10.49,15.55,23.92,34.87,"17,710","21,810","32,340","49,750","72,540",,
22,LA,Louisiana,00-0000,All Occupations,total,"1,939,300",0.4,1000.000,1.00,19.62,"40,810",0.5,8.35,9.93,15.38,23.83,35.21,"17,370","20,660","31,980","49,560","73,240",,
23,ME,Maine,00-0000,All Occupations,total,"591,520",0.7,1000.000,1.00,20.80,"43,260",1.0,9.07,11.52,16.69,25.07,36.20,"18,860","23,970","34,710","52,140","75,290",,
24,MD,Maryland,00-0000,All Occupations,total,"2,596,630",0.7,1000.000,1.00,26.27,"54,630",0.5,9.10,12.35,20.13,33.21,51.21,"18,920","25,690","41,860","69,070","106,520",,
25,MA,Massachusetts,00-0000,All Occupations,total,"3,396,840",0.4,1000.000,1.00,28.37,"59,010",0.6,9.87,13.67,21.91,35.58,54.22,"20,530","28,440","45,580","74,000","112,780",,
26,MI,Michigan,00-0000,All Occupations,total,"4,146,600",0.6,1000.000,1.00,22.26,"46,310",0.7,8.99,11.07,17.02,27.68,41.36,"18,690","23,030","35,400","57,570","86,030",,
27,MN,Minnesota,00-0000,All Occupations,total,"2,772,240",0.5,1000.000,1.00,23.91,"49,740",0.9,9.28,12.27,18.69,29.29,44.30,"19,300","25,520","38,870","60,920","92,140",,
28,MS,Mississippi,00-0000,All Occupations,total,"1,106,550",0.6,1000.000,1.00,18.08,"37,620",0.8,8.26,9.48,13.94,21.71,31.58,"17,170","19,730","29,000","45,160","65,690",,
29,MO,Missouri,00-0000,All Occupations,total,"2,712,240",0.5,1000.000,1.00,20.98,"43,640",0.6,8.63,10.59,16.05,25.61,38.40,"17,940","22,040","33,380","53,270","79,870",,
30,MT,Montana,00-0000,All Occupations,total,"447,180",0.6,1000.000,1.00,19.53,"40,620",0.6,8.91,10.71,15.37,23.74,34.56,"18,520","22,280","31,970","49,370","71,890",,
31,NE,Nebraska,00-0000,All Occupations,total,"953,710",0.8,1000.000,1.00,20.49,"42,630",0.7,8.95,11.15,16.27,24.72,36.18,"18,630","23,190","33,840","51,420","75,250",,
32,NV,Nevada,00-0000,All Occupations,total,"1,232,800",0.7,1000.000,1.00,20.58,"42,800",0.7,8.67,10.96,16.20,24.71,37.39,"18,030","22,800","33,700","51,390","77,780",,
33,NH,New Hampshire,00-0000,All Occupations,total,"635,360",0.6,1000.000,1.00,23.42,"48,710",1.0,9.08,11.91,17.92,28.18,43.13,"18,880","24,780","37,280","58,610","89,710",,
34,NJ,New Jersey,00-0000,All Occupations,total,"3,906,800",0.5,1000.000,1.00,26.42,"54,950",0.5,9.33,12.13,19.86,33.39,50.42,"19,400","25,240","41,320","69,450","104,860",,
35,NM,New Mexico,00-0000,All Occupations,total,"798,150",1.1,1000.000,1.00,20.76,"43,170",1.6,8.62,10.40,15.54,25.57,38.89,"17,930","21,630","32,320","53,180","80,900",,
36,NY,New York,00-0000,All Occupations,total,"8,984,890",0.2,1000.000,1.00,27.42,"57,030",0.5,9.33,12.20,20.00,33.76,53.48,"19,410","25,370","41,600","70,230","111,230",,
37,NC,North Carolina,00-0000,All Occupations,total,"4,125,070",0.2,1000.000,1.00,21.24,"44,170",0.4,8.52,10.54,15.91,25.05,39.18,"17,720","21,930","33,100","52,100","81,490",,
38,ND,North Dakota,00-0000,All Occupations,total,"447,820",0.9,1000.000,1.00,21.95,"45,660",0.7,9.70,12.97,18.35,26.61,37.12,"20,180","26,980","38,170","55,350","77,210",,
39,OH,Ohio,00-0000,All Occupations,total,"5,280,850",0.5,1000.000,1.00,21.52,"44,750",0.5,8.90,10.91,16.84,26.62,38.29,"18,510","22,700","35,030","55,380","79,640",,
40,OK,Oklahoma,00-0000,All Occupations,total,"1,597,130",0.7,1000.000,1.00,20.11,"41,820",0.6,8.49,10.41,15.59,23.82,36.16,"17,650","21,650","32,430","49,550","75,220",,
41,OR,Oregon,00-0000,All Occupations,total,"1,735,220",0.7,1000.000,1.00,23.12,"48,100",1.2,9.71,11.92,17.83,28.10,42.95,"20,200","24,790","37,080","58,450","89,340",,
42,PA,Pennsylvania,00-0000,All Occupations,total,"5,709,480",0.4,1000.000,1.00,22.38,"46,550",0.4,8.80,11.42,17.38,27.47,41.15,"18,310","23,760","36,150","57,140","85,590",,
44,RI,Rhode Island,00-0000,All Occupations,total,"471,290",0.9,1000.000,1.00,24.41,"50,780",1.2,9.40,12.15,18.77,30.25,45.38,"19,550","25,260","39,050","62,920","94,390",,
45,SC,South Carolina,00-0000,All Occupations,total,"1,928,140",0.5,1000.000,1.00,19.51,"40,580",0.5,8.38,10.05,15.04,23.51,35.27,"17,440","20,910","31,280","48,910","73,370",,
46,SD,South Dakota,00-0000,All Occupations,total,"413,260",0.4,1000.000,1.00,18.66,"38,820",0.4,9.17,10.92,14.80,21.78,31.49,"19,080","22,710","30,780","45,290","65,500",,
47,TN,Tennessee,00-0000,All Occupations,total,"2,814,230",0.5,1000.000,1.00,19.85,"41,300",0.5,8.49,10.41,15.30,23.66,35.64,"17,650","21,640","31,820","49,210","74,130",,
48,TX,Texas,00-0000,All Occupations,total,"11,572,540",0.3,1000.000,1.00,22.38,"46,560",0.4,8.55,10.67,16.61,27.25,42.52,"17,780","22,200","34,550","56,680","88,450",,
49,UT,Utah,00-0000,All Occupations,total,"1,324,460",0.6,1000.000,1.00,21.22,"44,130",0.9,8.78,11.14,16.34,25.78,38.86,"18,260","23,170","33,990","53,610","80,830",,
50,VT,Vermont,00-0000,All Occupations,total,"303,550",1.0,1000.000,1.00,22.15,"46,060",1.0,10.05,12.66,17.81,26.42,37.74,"20,900","26,320","37,040","54,960","78,510",,
51,VA,Virginia,00-0000,All Occupations,total,"3,682,450",0.5,1000.000,1.00,24.84,"51,670",0.6,8.83,11.56,18.36,30.47,49.63,"18,360","24,040","38,180","63,380","103,220",,
53,WA,Washington,00-0000,All Occupations,total,"2,983,930",0.5,1000.000,1.00,25.97,"54,010",2.0,10.63,13.47,20.28,32.38,48.83,"22,110","28,020","42,190","67,360","101,560",,
54,WV,West Virginia,00-0000,All Occupations,total,"707,000",0.9,1000.000,1.00,18.80,"39,100",0.7,8.63,9.71,14.54,23.01,33.57,"17,950","20,200","30,240","47,850","69,830",,
55,WI,Wisconsin,00-0000,All Occupations,total,"2,771,600",0.5,1000.000,1.00,21.12,"43,930",0.5,8.75,11.26,16.88,25.82,37.34,"18,190","23,420","35,110","53,710","77,670",,
56,WY,Wyoming,00-0000,All Occupations,total,"283,830",0.6,1000.000,1.00,22.04,"45,850",0.5,9.19,12.43,18.41,27.76,37.42,"19,110","25,860","38,280","57,740","77,840",,
66,GU,Guam,00-0000,All Occupations,total,"60,580",1.1,1000.000,1.00,16.59,"34,500",2.6,8.61,9.15,12.63,19.40,29.54,"17,910","19,020","26,280","40,360","61,440",,
72,PR,Puerto Rico,00-0000,All Occupations,total,"890,760",0.5,1000.000,1.00,13.56,"28,190",1.1,7.86,8.47,9.61,15.27,23.19,"16,340","17,630","20,000","31,770","48,240",,
78,VI,Virgin Islands,00-0000,All Occupations,total,"37,370",2.0,1000.000,1.00,16.85,"35,050",2.0,8.27,9.55,13.34,20.22,29.30,"17,200","19,860","27,750","42,060","60,940",,
